Sample.Name,Run,Slurry_vol_ml,SA_cm2
StandardA_Run1,RUN1,NA,NA
StandardB_Run1,RUN1,NA,NA
StandardC_Run1,RUN1,NA,NA
StandardD_Run1,RUN1,NA,NA
StandardE_Run1,RUN1,NA,NA
StandardF_Run1,RUN1,NA,NA
StandardG_Run1,RUN1,NA,NA
StandardH_Run1,RUN1,NA,NA
StandardI_Run1,RUN1,NA,NA
D01,RUN1,50,50
D02,RUN1,50,50
D03,RUN1,50,50
D04,RUN1,50,50
D05,RUN1,50,50
D06,RUN1,50,50
D07,RUN1,50,50
D08,RUN1,50,50
D09,RUN1,50,50
D10,RUN1,50,50
C01,RUN1,50,50
StandardA_Run2,RUN2,NA,NA
StandardB_Run2,RUN2,NA,NA
StandardC_Run2,RUN2,NA,NA
StandardD_Run2,RUN2,NA,NA
StandardE_Run2,RUN2,NA,NA
StandardF_Run2,RUN2,NA,NA
StandardG_Run2,RUN2,NA,NA
StandardH_Run2,RUN2,NA,NA
StandardI_Run2,RUN2,NA,NA
C02,RUN2,50,50
C03,RUN2,50,50
C04,RUN2,50,50
C05,RUN2,50,50
C06,RUN2,50,50
C07,RUN2,50,50
C08,RUN2,50,50
C09,RUN2,50,50
C10,RUN2,50,50
E01,RUN2,50,50
E02,RUN2,50,50