Well.Location,Run,Sample.Type,Sample.Name
A01,RUN1,Standard,StandardA_Run1
A02,RUN1,Standard,StandardA_Run1
A03,RUN1,Standard,StandardA_Run1
A04,RUN1,Standard,StandardB_Run1
A05,RUN1,Standard,StandardB_Run1
A06,RUN1,Standard,StandardB_Run1
A07,RUN1,Standard,StandardC_Run1
A08,RUN1,Standard,StandardC_Run1
A09,RUN1,Standard,StandardC_Run1
A10,RUN1,Standard,StandardD_Run1
A11,RUN1,Standard,StandardD_Run1
A12,RUN1,Standard,StandardD_Run1
B01,RUN1,Standard,StandardE_Run1
B02,RUN1,Standard,StandardE_Run1
B03,RUN1,Standard,StandardE_Run1
B04,RUN1,Standard,StandardF_Run1
B05,RUN1,Standard,StandardF_Run1
B06,RUN1,Standard,StandardF_Run1
B07,RUN1,Standard,StandardG_Run1
B08,RUN1,Standard,StandardG_Run1
B09,RUN1,Standard,StandardG_Run1
B10,RUN1,Standard,StandardH_Run1
B11,RUN1,Standard,StandardH_Run1
B12,RUN1,Standard,StandardH_Run1
C01,RUN1,Standard,StandardI_Run1
C02,RUN1,Standard,StandardI_Run1
C03,RUN1,Standard,StandardI_Run1
C04,RUN1,Host,D01_Host
C05,RUN1,Host,D01_Host
C06,RUN1,Host,D01_Host
C07,RUN1,Symbiont,D01_Symbiont
C08,RUN1,Symbiont,D01_Symbiont
C09,RUN1,Symbiont,D01_Symbiont
C10,RUN1,Host,D02_Host
C11,RUN1,Host,D02_Host
C12,RUN1,Host,D02_Host
D01,RUN1,Symbiont,D02_Symbiont
D02,RUN1,Symbiont,D02_Symbiont
D03,RUN1,Symbiont,D02_Symbiont
D04,RUN1,Host,D03_Host
D05,RUN1,Host,D03_Host
D06,RUN1,Host,D03_Host
D07,RUN1,Symbiont,D03_Symbiont
D08,RUN1,Symbiont,D03_Symbiont
D09,RUN1,Symbiont,D03_Symbiont
D10,RUN1,Host,D04_Host
D11,RUN1,Host,D04_Host
D12,RUN1,Host,D04_Host
E01,RUN1,Symbiont,D04_Symbiont
E02,RUN1,Symbiont,D04_Symbiont
E03,RUN1,Symbiont,D04_Symbiont
E04,RUN1,Host,D05_Host
E05,RUN1,Host,D05_Host
E06,RUN1,Host,D05_Host
E07,RUN1,Symbiont,D05_Symbiont
E08,RUN1,Symbiont,D05_Symbiont
E09,RUN1,Symbiont,D05_Symbiont
E10,RUN1,Host,D06_Host
E11,RUN1,Host,D06_Host
E12,RUN1,Host,D06_Host
F01,RUN1,Symbiont,D06_Symbiont
F02,RUN1,Symbiont,D06_Symbiont
F03,RUN1,Symbiont,D06_Symbiont
F04,RUN1,Host,D07_Host
F05,RUN1,Host,D07_Host
F06,RUN1,Host,D07_Host
F07,RUN1,Symbiont,D07_Symbiont
F08,RUN1,Symbiont,D07_Symbiont
F09,RUN1,Symbiont,D07_Symbiont
F10,RUN1,Host,D08_Host
F11,RUN1,Host,D08_Host
F12,RUN1,Host,D08_Host
G01,RUN1,Symbiont,D08_Symbiont
G02,RUN1,Symbiont,D08_Symbiont
G03,RUN1,Symbiont,D08_Symbiont
G04,RUN1,Host,D09_Host
G05,RUN1,Host,D09_Host
G06,RUN1,Host,D09_Host
G07,RUN1,Symbiont,D09_Symbiont
G08,RUN1,Symbiont,D09_Symbiont
G09,RUN1,Symbiont,D09_Symbiont
G10,RUN1,Host,D10_Host
G11,RUN1,Host,D10_Host
G12,RUN1,Host,D10_Host
H01,RUN1,Symbiont,D10_Symbiont
H02,RUN1,Symbiont,D10_Symbiont
H03,RUN1,Symbiont,D10_Symbiont
H04,RUN1,Host,C01_Host
H05,RUN1,Host,C01_Host
H06,RUN1,Host,C01_Host
H07,RUN1,Symbiont,C01_Symbiont
H08,RUN1,Symbiont,C01_Symbiont
H09,RUN1,Symbiont,C01_Symbiont
H10,RUN1,NA,NA
H11,RUN1,NA,NA
H12,RUN1,NA,NA
A01,RUN2,Standard,StandardA_Run2
A02,RUN2,Standard,StandardA_Run2
A03,RUN2,Standard,StandardA_Run2
A04,RUN2,Standard,StandardB_Run2
A05,RUN2,Standard,StandardB_Run2
A06,RUN2,Standard,StandardB_Run2
A07,RUN2,Standard,StandardC_Run2
A08,RUN2,Standard,StandardC_Run2
A09,RUN2,Standard,StandardC_Run2
A10,RUN2,Standard,StandardD_Run2
A11,RUN2,Standard,StandardD_Run2
A12,RUN2,Standard,StandardD_Run2
B01,RUN2,Standard,StandardE_Run2
B02,RUN2,Standard,StandardE_Run2
B03,RUN2,Standard,StandardE_Run2
B04,RUN2,Standard,StandardF_Run2
B05,RUN2,Standard,StandardF_Run2
B06,RUN2,Standard,StandardF_Run2
B07,RUN2,Standard,StandardG_Run2
B08,RUN2,Standard,StandardG_Run2
B09,RUN2,Standard,StandardG_Run2
B10,RUN2,Standard,StandardH_Run2
B11,RUN2,Standard,StandardH_Run2
B12,RUN2,Standard,StandardH_Run2
C01,RUN2,Standard,StandardI_Run2
C02,RUN2,Standard,StandardI_Run2
C03,RUN2,Standard,StandardI_Run2
C04,RUN2,Host,C02_Host
C05,RUN2,Host,C02_Host
C06,RUN2,Host,C02_Host
C07,RUN2,Symbiont,C02_Symbiont
C08,RUN2,Symbiont,C02_Symbiont
C09,RUN2,Symbiont,C02_Symbiont
C10,RUN2,Host,C03_Host
C11,RUN2,Host,C03_Host
C12,RUN2,Host,C03_Host
D01,RUN2,Symbiont,C03_Symbiont
D02,RUN2,Symbiont,C03_Symbiont
D03,RUN2,Symbiont,C03_Symbiont
D04,RUN2,Host,C04_Host
D05,RUN2,Host,C04_Host
D06,RUN2,Host,C04_Host
D07,RUN2,Symbiont,C04_Symbiont
D08,RUN2,Symbiont,C04_Symbiont
D09,RUN2,Symbiont,C04_Symbiont
D10,RUN2,Host,C05_Host
D11,RUN2,Host,C05_Host
D12,RUN2,Host,C05_Host
E01,RUN2,Symbiont,C05_Symbiont
E02,RUN2,Symbiont,C05_Symbiont
E03,RUN2,Symbiont,C05_Symbiont
E04,RUN2,Host,C06_Host
E05,RUN2,Host,C06_Host
E06,RUN2,Host,C06_Host
E07,RUN2,Symbiont,C06_Symbiont
E08,RUN2,Symbiont,C06_Symbiont
E09,RUN2,Symbiont,C06_Symbiont
E10,RUN2,Host,C07_Host
E11,RUN2,Host,C07_Host
E12,RUN2,Host,C07_Host
F01,RUN2,Symbiont,C07_Symbiont
F02,RUN2,Symbiont,C07_Symbiont
F03,RUN2,Symbiont,C07_Symbiont
F04,RUN2,Host,C08_Host
F05,RUN2,Host,C08_Host
F06,RUN2,Host,C08_Host
F07,RUN2,Symbiont,C08_Symbiont
F08,RUN2,Symbiont,C08_Symbiont
F09,RUN2,Symbiont,C08_Symbiont
F10,RUN2,Host,C09_Host
F11,RUN2,Host,C09_Host
F12,RUN2,Host,C09_Host
G01,RUN2,Symbiont,C09_Symbiont
G02,RUN2,Symbiont,C09_Symbiont
G03,RUN2,Symbiont,C09_Symbiont
G04,RUN2,Host,C10_Host
G05,RUN2,Host,C10_Host
G06,RUN2,Host,C10_Host
G07,RUN2,Symbiont,C10_Symbiont
G08,RUN2,Symbiont,C10_Symbiont
G09,RUN2,Symbiont,C10_Symbiont
G10,RUN2,Host,E01_Host
G11,RUN2,Host,E01_Host
G12,RUN2,Host,E01_Host
H01,RUN2,Symbiont,E01_Symbiont
H02,RUN2,Symbiont,E01_Symbiont
H03,RUN2,Symbiont,E01_Symbiont
H04,RUN2,Host,E02_Host
H05,RUN2,Host,E02_Host
H06,RUN2,Host,E02_Host
H07,RUN2,Symbiont,E02_Symbiont
H08,RUN2,Symbiont,E02_Symbiont
H09,RUN2,Symbiont,E02_Symbiont
H10,RUN2,NA,NA
H11,RUN2,NA,NA
H12,RUN2,NA,NA